Id,SalePrice
1461,121245.234
1462,143002.42
1463,168022.36
1464,184749.89
1465,224462.78
1466,185728.3
1467,157401.44
1468,176459.14
1469,189644.8
1470,123842.29
1471,189268.53
1472,132588.1
1473,133899.45
1474,166430.17
1475,133024.9
1476,362177.62
1477,285756.38
1478,333868.44
1479,295837.38
1480,374988.94
1481,312617.56
1482,233827.98
1483,170938.03
1484,181152.08
1485,193538.92
1486,214951.73
1487,320472.44
1488,286302.84
1489,186318.89
1490,179527.0
1491,210537.94
1492,104685.87
1493,168284.0
1494,313185.5
1495,307578.25
1496,200338.53
1497,211790.48
1498,183181.77
1499,183181.77
1500,165689.23
1501,180087.92
1502,177211.12
1503,274280.12
1504,251511.53
1505,199751.72
1506,185376.36
1507,235830.62
1508,192439.61
1509,178123.66
1510,144314.4
1511,143286.11
1512,150219.45
1513,180917.39
1514,143621.78
1515,196894.73
1516,161664.44
1517,136986.17
1518,151564.11
1519,199448.67
1520,130717.1
1521,133286.02
1522,169294.23
1523,119911.95
1524,123680.61
1525,121335.414
1526,123590.43
1527,102046.88
1528,135087.27
1529,139599.64
1530,160007.17
1531,115726.15
1532,90346.09
1533,146206.47
1534,133035.11
1535,145731.89
1536,114606.13
1537,67988.8
1538,162574.19
1539,235865.56
1540,146099.64
1541,147538.8
1542,145751.9
1543,183516.98
1544,82454.695
1545,128446.95
1546,139209.92
1547,135004.9
1548,143412.39
1549,125261.03
1550,137471.19
1551,121042.48
1552,141194.72
1553,125793.68
1554,130531.07
1555,145818.86
1556,112138.14
1557,106318.06
1558,120216.8
1559,109770.484
1560,137267.39
1561,140544.2
1562,123662.02
1563,123401.29
1564,154951.05
1565,154336.03
1566,192135.23
1567,95911.695
1568,198982.23
1569,115876.89
1570,129431.23
1571,123444.195
1572,129329.84
1573,207366.8
1574,138267.88
1575,193597.75
1576,247385.89
1577,186977.06
1578,134821.31
1579,143348.98
1580,209617.33
1581,133843.2
1582,130684.35
1583,301591.84
1584,233833.44
1585,146195.9
1586,71693.85
1587,121662.79
1588,136791.06
1589,122423.78
1590,138797.1
1591,94346.336
1592,115874.89
1593,121293.17
1594,197962.17
1595,124434.16
1596,195235.3
1597,179085.78
1598,205993.36
1599,206350.53
1600,219527.8
1601,56091.51
1602,122004.85
1603,81905.24
1604,244622.77
1605,296993.1
1606,157056.17
1607,200945.06
1608,233801.66
1609,186093.67
1610,161948.44
1611,145384.05
1612,160443.89
1613,154085.03
1614,128839.37
1615,105090.484
1616,105090.484
1617,117780.05
1618,125107.37
1619,133149.55
1620,229612.4
1621,155224.44
1622,141337.14
1623,247227.86
1624,194197.97
1625,123557.77
1626,164705.25
1627,184575.8
1628,314402.6
1629,205387.28
1630,282043.4
1631,235172.8
1632,244728.62
1633,191539.88
1634,186658.56
1635,177850.27
1636,157993.08
1637,176367.75
1638,223129.1
1639,180492.08
1640,261113.73
1641,182639.33
1642,223545.48
1643,252603.61
1644,250755.28
1645,159024.28
1646,145805.12
1647,171658.89
1648,143433.72
1649,132205.56
1650,123071.93
1651,123601.64
1652,133291.2
1653,132938.03
1654,172330.27
1655,165196.75
1656,167255.58
1657,173155.66
1658,167668.27
1659,133427.22
1660,139314.95
1661,386359.72
1662,377130.47
1663,348589.97
1664,418899.97
1665,336661.3
1666,293758.3
1667,325952.84
1668,336955.34
1669,327252.97
1670,339685.47
1671,216149.45
1672,364740.34
1673,325899.78
1674,287163.78
1675,172965.98
1676,169864.42
1677,193822.72
1678,410058.75
1679,310916.38
1680,299454.38
1681,281477.4
1682,290020.3
1683,194975.23
1684,198842.58
1685,180839.2
1686,184774.27
1687,193538.92
1688,208808.22
1689,206660.97
1690,199985.47
1691,191217.56
1692,302285.0
1693,193538.92
1694,180207.19
1695,194815.56
1696,271051.3
1697,194815.56
1698,330174.72
1699,301571.72
1700,230801.14
1701,264847.9
1702,291741.84
1703,290145.75
1704,291594.94
1705,236432.11
1706,367134.3
1707,198887.77
1708,196859.83
1709,327609.9
1710,237104.16
1711,295102.25
1712,254198.92
1713,246276.56
1714,203802.78
1715,209767.34
1716,189963.73
1717,185140.6
1718,151619.69
1719,219663.72
1720,282417.72
1721,182737.78
1722,137205.66
1723,143812.89
1724,238169.89
1725,234852.23
1726,189789.03
1727,165224.66
1728,199313.1
1729,167629.75
1730,194315.42
1731,131657.56
1732,126197.945
1733,119882.195
1734,119810.54
1735,122975.74
1736,122451.24
1737,293928.62
1738,210898.78
1739,310466.56
1740,196153.69
1741,170665.78
1742,180087.92
1743,196127.77
1744,235867.83
1745,208519.02
1746,270078.06
1747,222492.25
1748,233748.97
1749,142095.19
1750,141938.14
1751,238983.33
1752,122967.04
1753,159736.12
1754,222134.39
1755,156667.53
1756,119091.43
1757,118833.19
1758,149676.38
1759,157162.78
1760,146130.6
1761,146274.83
1762,183069.44
1763,169881.06
1764,120824.26
1765,179216.53
1766,160473.38
1767,169336.48
1768,129186.18
1769,176017.52
1770,120114.03
1771,131656.69
1772,138647.17
1773,114366.74
1774,165083.98
1775,130172.32
1776,133533.5
1777,108465.914
1778,122274.98
1779,130423.92
1780,182133.36
1781,128424.47
1782,83861.29
1783,131576.23
1784,85861.63
1785,110115.336
1786,157341.33
1787,173592.84
1788,59870.285
1789,111962.09
1790,60863.652
1791,248494.05
1792,147090.92
1793,141711.34
1794,133517.14
1795,132945.73
1796,134869.9
1797,139822.58
1798,125847.945
1799,109572.9
1800,132358.42
1801,122205.055
1802,159689.27
1803,184837.67
1804,135744.03
1805,132368.23
1806,137478.88
1807,168711.53
1808,127321.85
1809,112657.94
1810,149193.78
1811,117656.93
1812,106319.07
1813,133876.61
1814,96878.84
1815,57758.816
1816,97081.76
1817,116315.24
1818,149453.69
1819,128124.51
1820,70031.984
1821,137048.6
1822,165856.69
1823,61203.29
1824,135958.73
1825,132909.44
1826,112316.89
1827,106579.98
1828,132857.38
1829,183512.64
1830,160277.42
1831,171160.72
1832,145230.12
1833,155650.75
1834,133279.64
1835,144908.75
1836,147441.05
1837,75857.77
1838,132280.81
1839,89676.54
1840,152267.11
1841,130801.65
1842,111809.33
1843,130549.18
1844,145853.11
1845,151260.8
1846,144190.56
1847,167076.28
1848,63121.812
1849,136861.0
1850,126161.97
1851,152723.27
1852,125794.47
1853,128907.91
1854,173674.92
1855,164976.83
1856,219120.25
1857,146869.72
1858,194096.1
1859,156153.66
1860,167689.75
1861,155022.88
1862,349068.25
1863,349068.25
1864,349068.25
1865,328125.22
1866,335989.28
1867,282165.3
1868,253883.98
1869,189766.81
1870,273176.8
1871,282228.6
1872,176783.31
1873,211550.05
1874,139773.72
1875,196371.17
1876,194770.34
1877,196888.7
1878,199339.0
1879,129478.1
1880,134911.02
